香港频道,#genre#  
翡翠台,id=jade_twn  
翡翠台 backup,id=Jade_xue  
iNews 新闻台,id=inews_twn  
J 2,id=j2_twn  
珍珠台,id=pearl_twn  
凤凰香港,id=hkphoenix_twn  
HOY资讯台,id=hoycaijing_twn  
RHK 31,id=rhk31_twn  
viutv,id=viu1_twn  
RHK 32,id=rhk32_twn  
凤凰资讯,id=phoenixinfo_hd  
viutv6,id=viusix_twn  

央视频道,#genre#  
CCTV-1 综合频道 HD,id=cctv1  
CCTV-2 财经频道,id=cctv2  
CCTV-3 综艺频道,id=cctv3  
CCTV-4 中文国际,id=cctv4  
CCTV-4 新闻频道,id=Cctv4  
CCTV-5 体育频道,id=cctv5  
CCTV-5+ 体育赛事 HD,id=cctv5plus  
CCTV-6 电影频道,id=cctv6  
CCTV-7 军事农业频道,id=cctv7  
CCTV-8 电视剧 HD,id=cctv8hd  
CCTV-9 记录频道 HD,id=cctv9hd  
CCTV-10 科教频道 HD,id=cctv10hd  
CCTV-11 戏曲频道,id=cctv11  
CCTV-12 社会与法,id=cctv12  
CCTV-13 新闻频道,id=cctv13  
CCTV-14 少儿频道,id=cctv14  
CCTV-15 音乐频道,id=cctv15  

体育频道,#genre#  
Astro Premier League 1,id=go_assp1  
Astro EPL 1 backup,id=go_assp1x  
Astro Premier League 2,id=go_assp2  
Astro Grandstand,id=go_assp3  
Astro Football,id=go_assp4  
Astro Sports Plus,id=go_sportsplus  
Astro Badminton 1,id=go_badminton1  
Astro Badminton 2,id=go_badminton2  
Astro W-Sports,id=go_assp5  
Supersports 1,id=Assp1  
Supersports 2,id=Assp2  
Supersports 3,id=Assp3  
Supersports 4,id=Assp4  
WWE,id=Wwe  
Fight Sports,id=Fs  
NBA TV,id=Nba  
Astro Cricket,id=Acricket  
Astro Golf,id=Agolf  
Tnt Sports 1,id=6fac0aaead  
TNT Sports 2,id=d9a76a79cc  
TNT Sports 3,id=5fea4d73db  
TNT Sports 4,id=tntsport4  
Sony Ten 1,id=ten1_raj  
Sony Ten 2,id=ten2_raj  
Sony Ten 3,id=ten3_raj  
SPOTV 1 HD,id=go_spotv  
SPO TV 2,id=go_spotv2  
Skysports F1,id=tiankongf1  
Skysports Cricket,id=tiankongcricket  
Skysports EPL,id=tiankongepl  
Skysports Main Event,id=tiankongmain  
Skysports News,id=tiankongnews  
Skysports Mix,id=tiankongmix  
CCTV-5 体育频道,id=cctv5  
CCTV-5+ 体育赛事 HD,id=cctv5plus  
爱尔达体育2台,id=eltasport2_twn  
爱尔达体育3台,id=eltasport3_twn  
Rugby Pass TV,id=Rugbypasstv  
RTM Sports HD,id=Rtmsport  
Arena,id=Arena  
Arena 2,id=Arena2  
BolaArena 1,id=Bolaarena1  
BolaArena 2,id=Bolaarena2  
Astro Beinsports 1,id=Astrobein1  
Astro Beinsports 2,id=Astrobein2  
Astro Beinsports 3,id=Astrobein3  

台湾频道,#genre#  
TVBS News 新闻台,id=tvbs_n  
TVBS 欢乐台 （备份）,id=tvbshuanle_twn  
TVBS HD,id=tvbs  
中天新闻 HD,id=ctinews  
中天娱乐 CTI Entertaiment,id=ctient  
